SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
1741959770476;;SETTLEMENT;1.82;2026-04-07T00:52:01.000-03:00;0.00;2026-04-07T00:52:01.000-03:00;1.82;0.00;;;
152791498869;available_money;SETTLEMENT;-13333.33;2026-04-06T17:00:47.000-03:00;0.00;2026-04-06T17:00:47.000-03:00;-13333.33;0.00;;;2026-04-06T17:00:47.000-03:00
152774248655;available_money;SETTLEMENT;14000.00;2026-04-06T14:52:12.000-03:00;0.00;2026-04-06T14:52:12.000-03:00;14000.00;0.00;;;2026-04-06T14:52:12.000-03:00
1741888540573;;SETTLEMENT;122.71;2026-04-06T01:31:13.000-03:00;0.00;2026-04-06T01:31:13.000-03:00;122.71;0.00;;;
153177737096;available_money;SETTLEMENT;-6654.00;2026-04-03T20:32:51.000-03:00;0.00;2026-04-05T22:47:12.000-03:00;-6654.00;0.00;;;2026-04-05T22:47:12.000-03:00
153388709782;available_money;SETTLEMENT;-38000.00;2026-04-05T16:21:11.000-03:00;0.00;2026-04-05T16:21:12.000-03:00;-38000.00;0.00;Mercado Pago;Checkouts;2026-04-13T15:27:09.000-03:00
153388641642;bank_transfer;SETTLEMENT;50000.00;2026-04-05T16:20:25.000-03:00;0.00;2026-04-05T16:20:25.000-03:00;50000.00;0.00;;;2026-04-05T16:20:25.000-03:00
153073028668;available_money;SETTLEMENT;-17500.00;2026-04-02T22:04:02.000-03:00;0.00;2026-04-02T22:04:03.000-03:00;-17500.00;0.00;;;2026-04-02T22:04:03.000-03:00
152333250435;bank_transfer;SETTLEMENT;50000.00;2026-04-02T22:03:38.000-03:00;0.00;2026-04-02T22:03:38.000-03:00;50000.00;0.00;;;2026-04-02T22:03:38.000-03:00
1741797931244;;SETTLEMENT;24.75;2026-04-01T01:19:30.000-03:00;0.00;2026-04-01T01:19:30.000-03:00;24.75;0.00;;;
151644474131;available_money;SETTLEMENT;-12905.00;2026-03-29T05:23:22.000-03:00;0.00;2026-04-01T00:21:54.000-03:00;-12905.00;0.00;;;2026-04-01T00:21:54.000-03:00
